公司代码,公司简称,发函日期,函件类别,函件内容,公司回复
2846.0,英联股份,2022-12-30,关注函,LSD002846176838.pdf,LSD002846176838103490HF.pdf
150.0,*ST宜康,2022-12-29,关注函,LSD000150176833.pdf,LSD000150176833103482HF.pdf
2177.0,*ST御银,2022-12-29,关注函,LSD002177176834.pdf,LSD002177176834103484HF.pdf
667.0,美好置业,2022-12-29,关注函,LSD000667176824.pdf,LSD000667176824103487HF.pdf
2411.0,*ST必康,2022-12-29,关注函,LSD002411176812.pdf,LSD002411176812103491HF.pdf
2719.0,麦趣尔,2022-12-28,关注函,LSD002719176808.pdf,LSD002719176808103476HF.pdf
848.0,承德露露,2022-12-28,关注函,LSD000848176799.pdf,LSD000848176799103475HF.pdf
850.0,华茂股份,2022-12-28,关注函,LSD000850176791.pdf,LSD000850176791103479HF.pdf
2437.0,誉衡药业,2022-12-28,关注函,LSD002437176795.pdf,LSD002437176795103481HF.pdf
2388.0,新亚制程,2022-12-27,关注函,LSD002388176778.pdf,LSD002388176778103489HF.pdf
2647.0,仁东控股,2022-12-27,关注函,LSD002647176776.pdf,LSD002647176776103483HF.pdf
584.0,哈工智能,2022-12-27,关注函,LSD000584176781.pdf,LSD000584176781103486HF.pdf
887.0,中鼎股份,2022-12-27,关注函,LSD000887176762.pdf,LSD000887176762103478HF.pdf
2186.0,全 聚 德,2022-12-27,关注函,LSD002186176768.pdf,LSD002186176768103470HF.pdf
2426.0,胜利精密,2022-12-26,关注函,LSD002426176744.pdf,LSD002426176744103463HF.pdf
7.0,全新好,2022-12-23,关注函,LSD000007176681.pdf,LSD000007176681103471HF.pdf
606.0,*ST顺利,2022-12-23,关注函,LSD000606176690.pdf,LSD000606176690103473HF.pdf
1267.0,汇绿生态,2022-12-23,三季报问询函,LSD001267176642.pdf,LSD001267176642103464HF.pdf
56.0,皇庭国际,2022-12-23,关注函,LSD000056176706.pdf,LSD000056176706103465HF.pdf
2933.0,新兴装备,2022-12-22,关注函,LSD002933176700.pdf,LSD002933176700103462HF.pdf
721.0,西安饮食,2022-12-21,关注函,LSD000721176689.pdf,LSD000721176689103456HF.pdf
159.0,国际实业,2022-12-21,关注函,LSD000159176663.pdf,LSD000159176663103457HF.pdf
2290.0,禾盛新材,2022-12-21,关注函,LSD002290176680.pdf,LSD002290176680103477HF.pdf
150.0,*ST宜康,2022-12-20,关注函,LSD000150176677.pdf,LSD000150176677103455HF.pdf
2411.0,*ST必康,2022-12-19,关注函,LSD002411176631.pdf,LSD002411176631103466HF.pdf
2795.0,永和智控,2022-12-19,关注函,LSD002795176641.pdf,LSD002795176641103460HF.pdf
2551.0,尚荣医疗,2022-12-15,关注函,LSD002551176611.pdf,LSD002551176611103452HF.pdf
2259.0,ST升达,2022-12-15,关注函,LSD002259176599.pdf,LSD002259176599103541HF.pdf
2781.0,*ST奇信,2022-12-14,关注函,LSD002781176562.pdf,LSD002781176562103468HF.pdf
2336.0,人人乐,2022-12-14,关注函,LSD002336176567.pdf,LSD002336176567103459HF.pdf
756.0,新华制药,2022-12-14,关注函,LSD000756176587.pdf,LSD000756176587103447HF.pdf
7.0,全新好,2022-12-14,三季报问询函,LSD000007176325.pdf,LSD000007176325103451HF.pdf
2816.0,和科达,2022-12-13,关注函,LSD002816176563.pdf,LSD002816176563103443HF.pdf
2547.0,春兴精工,2022-12-13,关注函,LSD002547176549.pdf,LSD002547176549103444HF.pdf
2316.0,*ST亚联,2022-12-13,关注函,LSD002316176551.pdf,LSD002316176551103448HF.pdf
2776.0,ST柏龙,2022-12-12,三季报问询函,LSD002776176538.pdf,LSD002776176538103458HF.pdf
606.0,*ST顺利,2022-12-12,关注函,LSD000606176424.pdf,LSD000606176424103474HF.pdf
2295.0,精艺股份,2022-12-12,关注函,LSD002295176519.pdf,
152.0,*ST山航B,2022-12-12,关注函,LSD000152176532.pdf,LSD000152176532103472HF.pdf
2388.0,新亚制程,2022-12-12,关注函,LSD002388176506.pdf,LSD002388176506103445HF.pdf
68.0,华控赛格,2022-12-12,关注函,LSD000068176527.pdf,LSD000068176527103442HF.pdf
2545.0,东方铁塔,2022-12-9,关注函,LSD002545176513.pdf,LSD002545176513103440HF.pdf
2531.0,天顺风能,2022-12-9,关注函,LSD002531176504.pdf,LSD002531176504103437HF.pdf
830.0,鲁西化工,2022-12-9,许可类重组问询函,LSD000830176498.pdf,LSD000830176498103480HF.pdf
2012.0,凯恩股份,2022-12-9,非许可类重组问询函,LSD002012176479.pdf,LSD002012176479103453HF.pdf
2816.0,和科达,2022-12-8,关注函,LSD002816176481.pdf,LSD002816176481103439HF.pdf
2520.0,日发精机,2022-12-6,关注函,LSD002520176427.pdf,LSD002520176427103446HF.pdf
410.0,*ST沈机,2022-12-5,三季报问询函,LSD000410176411.pdf,LSD000410176411103435HF.pdf
2159.0,三特索道,2022-12-2,关注函,LSD002159176396.pdf,LSD002159176396103438HF.pdf
2610.0,爱康科技,2022-12-2,关注函,LSD002610176382.pdf,LSD002610176382103431HF.pdf
2875.0,安奈儿,2022-12-1,关注函,LSD002875176307.pdf,LSD002875176307103425HF.pdf
2665.0,首航高科,2022-12-1,关注函,LSD002665176330.pdf,LSD002665176330103433HF.pdf
2816.0,和科达,2022-12-1,关注函,LSD002816176369.pdf,LSD002816176369103430HF.pdf
732.0,ST泰禾,2022-12-1,关注函,LSD000732176371.pdf,LSD000732176371103432HF.pdf
506.0,中润资源,2022-11-30,关注函,LSD000506176349.pdf,LSD000506176349103441HF.pdf
2756.0,永兴材料,2022-11-30,关注函,LSD002756176351.pdf,LSD002756176351103436HF.pdf
999.0,华润三九,2022-11-30,非许可类重组问询函,LSD000999176341.pdf,LSD000999176341103428HF.pdf
38.0,*ST大通,2022-11-29,三季报问询函,LSD000038176303.pdf,LSD000038176303103469HF.pdf
4.0,ST国华,2022-11-29,关注函,LSD000004176309.pdf,LSD000004176309103423HF.pdf
587.0,*ST金洲,2022-11-28,三季报问询函,LSD000587176274.pdf,
2781.0,*ST奇信,2022-11-28,三季报问询函,LSD002781176224.pdf,LSD002781176224103461HF.pdf
2306.0,中科云网,2022-11-25,问询函,LSD002306176270.pdf,LSD002306176270103426HF.pdf
2636.0,金安国纪,2022-11-25,关注函,LSD002636176277.pdf,LSD002636176277103424HF.pdf
2177.0,*ST御银,2022-11-25,三季报问询函,LSD002177176218.pdf,LSD002177176218103419HF.pdf
2751.0,*ST易尚,2022-11-24,三季报问询函,LSD002751176238.pdf,
2665.0,首航高科,2022-11-24,关注函,LSD002665176241.pdf,LSD002665176241103417HF.pdf
2411.0,*ST必康,2022-11-24,关注函,LSD002411176226.pdf,LSD002411176226103422HF.pdf
2240.0,盛新锂能,2022-11-24,关注函,LSD002240176249.pdf,LSD002240176249103427HF.pdf
2150.0,通润装备,2022-11-23,关注函,LSD002150176230.pdf,LSD002150176230103418HF.pdf
2366.0,*ST海核,2022-11-23,三季报问询函,LSD002366176222.pdf,LSD002366176222103420HF.pdf
2122.0,*ST天马,2022-11-23,三季报问询函,LSD002122176211.pdf,LSD002122176211103415HF.pdf
2491.0,通鼎互联,2022-11-22,关注函,LSD002491176195.pdf,LSD002491176195103454HF.pdf
982.0,中银绒业,2022-11-21,关注函,LSD000982176181.pdf,LSD000982176181103414HF.pdf
2408.0,齐翔腾达,2022-11-21,关注函,LSD002408176170.pdf,LSD002408176170103407HF.pdf
2592.0,ST八菱,2022-11-18,关注函,LSD002592176131.pdf,LSD002592176131103405HF.pdf
697.0,炼石航空,2022-11-18,关注函,LSD000697176165.pdf,LSD000697176165103404HF.pdf
2584.0,西陇科学,2022-11-18,关注函,LSD002584176145.pdf,LSD002584176145103406HF.pdf
2821.0,凯莱英,2022-11-18,关注函,LSD002821176158.pdf,LSD002821176158103402HF.pdf
2076.0,*ST雪莱,2022-11-18,关注函,LSD002076176141.pdf,LSD002076176141103403HF.pdf
564.0,ST大集,2022-11-17,关注函,LSD000564176151.pdf,LSD000564176151103397HF.pdf
2229.0,鸿博股份,2022-11-17,关注函,LSD002229176137.pdf,LSD002229176137103396HF.pdf
626.0,远大控股,2022-11-16,关注函,LSD000626176091.pdf,LSD000626176091103385HF.pdf
2319.0,乐通股份,2022-11-15,三季报问询函,LSD002319175969.pdf,LSD002319175969103416HF.pdf
2491.0,通鼎互联,2022-11-15,关注函,LSD002491176103.pdf,LSD002491176103103395HF.pdf
587.0,*ST金洲,2022-11-15,关注函,LSD000587176086.pdf,
150.0,*ST宜康,2022-11-14,关注函,LSD000150176079.pdf,LSD000150176079103398HF.pdf
2731.0,萃华珠宝,2022-11-14,关注函,LSD002731176062.pdf,LSD002731176062103413HF.pdf
2122.0,*ST天马,2022-11-13,关注函,LSD002122176056.pdf,LSD002122176056103394HF.pdf
2816.0,和科达,2022-11-13,关注函,LSD002816176072.pdf,LSD002816176072103384HF.pdf
2499.0,*ST科林,2022-11-11,三季报问询函,LSD002499175982.pdf,
2485.0,*ST雪发,2022-11-10,三季报问询函,LSD002485175970.pdf,LSD002485175970103411HF.pdf
2745.0,木林森,2022-11-10,关注函,LSD002745176040.pdf,LSD002745176040103382HF.pdf
721.0,西安饮食,2022-11-10,关注函,LSD000721176032.pdf,LSD000721176032103369HF.pdf
2776.0,ST柏龙,2022-11-9,三季报问询函,LSD002776175968.pdf,LSD002776175968103434HF.pdf
3039.0,顺控发展,2022-11-9,关注函,LSD003039176014.pdf,LSD003039176014103381HF.pdf
2995.0,天地在线,2022-11-8,关注函,LSD002995176012.pdf,LSD002995176012103344HF.pdf
411.0,英特集团,2022-11-8,许可类重组问询函,LSD000411175931.pdf,LSD000411175931103393HF.pdf
980.0,众泰汽车,2022-11-4,关注函,LSD000980175960.pdf,LSD000980175960103348HF.pdf
839.0,ST国安,2022-11-2,关注函,LSD000839175870.pdf,LSD000839175870103346HF.pdf
2524.0,光正眼科,2022-11-1,关注函,LSD002524175887.pdf,LSD002524175887103345HF.pdf
2456.0,欧菲光,2022-10-31,关注函,LSD002456175888.pdf,LSD002456175888103339HF.pdf
2504.0,ST弘高,2022-10-31,关注函,LSD002504175871.pdf,LSD002504175871103371HF.pdf
2889.0,东方嘉盛,2022-10-31,关注函,LSD002889175868.pdf,LSD002889175868103332HF.pdf
2520.0,日发精机,2022-10-28,三季报问询函,LSD002520175856.pdf,LSD002520175856103401HF.pdf
2506.0,协鑫集成,2022-10-28,关注函,LSD002506175816.pdf,LSD002506175816103338HF.pdf
637.0,茂化实华,2022-10-28,关注函,LSD000637175853.pdf,LSD000637175853103341HF.pdf
718.0,苏宁环球,2022-10-28,关注函,LSD000718175800.pdf,LSD000718175800103334HF.pdf
606.0,*ST顺利,2022-10-27,关注函,LSD000606175803.pdf,LSD000606175803103342HF.pdf
2557.0,洽洽食品,2022-10-27,关注函,LSD002557175850.pdf,LSD002557175850103340HF.pdf
671.0,阳 光 城,2022-10-26,关注函,LSD000671175798.pdf,LSD000671175798103333HF.pdf
38.0,*ST大通,2022-10-26,关注函,LSD000038175785.pdf,LSD000038175785103412HF.pdf
622.0,恒立实业,2022-10-24,关注函,LSD000622175768.pdf,LSD000622175768103335HF.pdf
820.0,神雾节能,2022-10-20,关注函,LSD000820175740.pdf,LSD000820175740103330HF.pdf
2769.0,普路通,2022-10-19,关注函,LSD002769175711.pdf,LSD002769175711103325HF.pdf
3005.0,竞业达,2022-10-17,关注函,LSD003005175697.pdf,LSD003005175697103326HF.pdf
2581.0,未名医药,2022-10-17,关注函,LSD002581175672.pdf,LSD002581175672103336HF.pdf
530.0,冰山冷热,2022-10-12,非许可类重组问询函,LSD000530175608.pdf,LSD000530175608103329HF.pdf
2817.0,黄山胶囊,2022-10-11,关注函,LSD002817175567.pdf,LSD002817175567103321HF.pdf
716.0,黑芝麻,2022-10-10,关注函,LSD000716175581.pdf,
3023.0,彩虹集团,2022-10-10,关注函,LSD003023175568.pdf,LSD003023175568103319HF.pdf
2717.0,岭南股份,2022-10-10,关注函,LSD002717175550.pdf,LSD002717175550103350HF.pdf
711.0,京蓝科技,2022-10-10,半年报问询函,LSD000711175480.pdf,LSD000711175480103327HF.pdf
409.0,云鼎科技,2022-10-10,非许可类重组问询函,LSD000409175543.pdf,LSD000409175543103322HF.pdf
2426.0,胜利精密,2022-9-30,关注函,LSD002426175541.pdf,LSD002426175541103316HF.pdf
688.0,国城矿业,2022-9-30,关注函,LSD000688175539.pdf,LSD000688175539103317HF.pdf
3027.0,同兴环保,2022-9-26,关注函,LSD003027175472.pdf,LSD003027175472103351HF.pdf
820.0,神雾节能,2022-9-26,半年报问询函,LSD000820175474.pdf,LSD000820175474103320HF.pdf
2245.0,蔚蓝锂芯,2022-9-26,问询函,LSD002245175482.pdf,LSD002245175482103313HF.pdf
752.0,*ST西发,2022-9-23,半年报问询函,LSD000752175437.pdf,LSD000752175437103315HF.pdf
2781.0,*ST奇信,2022-9-22,半年报问询函,LSD002781175363.pdf,LSD002781175363103328HF.pdf
2789.0,建艺集团,2022-9-21,非许可类重组问询函,LSD002789175247.pdf,LSD002789175247103376HF.pdf
2703.0,浙江世宝,2022-9-20,关注函,LSD002703175415.pdf,LSD002703175415103302HF.pdf
38.0,*ST大通,2022-9-19,半年报问询函,LSD000038175377.pdf,LSD000038175377103324HF.pdf
159.0,国际实业,2022-9-16,关注函,LSD000159175337.pdf,LSD000159175337103311HF.pdf
995.0,*ST皇台,2022-9-15,半年报问询函,LSD000995175326.pdf,LSD000995175326103304HF.pdf
2417.0,*ST深南,2022-9-15,关注函,LSD002417175341.pdf,LSD002417175341103291HF.pdf
2586.0,*ST围海,2022-9-15,半年报问询函,LSD002586175267.pdf,LSD002586175267103421HF.pdf
759.0,中百集团,2022-9-15,关注函,LSD000759175350.pdf,LSD000759175350103290HF.pdf
2740.0,ST爱迪尔,2022-9-15,半年报问询函,LSD002740175221.pdf,LSD002740175221103306HF.pdf
2751.0,*ST易尚,2022-9-15,半年报问询函,LSD002751175303.pdf,LSD002751175303103323HF.pdf
2200.0,ST交投,2022-9-15,关注函,LSD002200175334.pdf,LSD002200175334103292HF.pdf
616.0,ST海投,2022-9-15,半年报问询函,LSD000616175236.pdf,LSD000616175236103449HF.pdf
2700.0,ST浩源,2022-9-15,问询函,LSD002700175328.pdf,LSD002700175328103299HF.pdf
2592.0,ST八菱,2022-9-14,关注函,LSD002592175322.pdf,LSD002592175322103300HF.pdf
2719.0,麦趣尔,2022-9-14,半年报问询函,LSD002719175249.pdf,LSD002719175249103331HF.pdf
2816.0,和科达,2022-9-14,半年报问询函,LSD002816175154.pdf,LSD002816175154103308HF.pdf
2688.0,金河生物,2022-9-14,关注函,LSD002688175302.pdf,LSD002688175302103352HF.pdf
2512.0,达华智能,2022-9-14,关注函,LSD002512175308.pdf,LSD002512175308103286HF.pdf
2733.0,雄韬股份,2022-9-14,关注函,LSD002733175293.pdf,LSD002733175293103294HF.pdf
2564.0,天沃科技,2022-9-14,半年报问询函,LSD002564175184.pdf,LSD002564175184103370HF.pdf
