长期应付职工薪酬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
长期应付款(合计),1050000000,1310000000,1160000000,1010000000,1010000000,1171669291,1150000000,1150000000,1193938630,729364515.6,713971319.3,697643282.4,873618580.6,917159562.2,925232995.1,934764875.6,943414523.3,967479380,899399594.3,894088692.8,895045177.7,0,0,0,0,0.0
长期应付款,1050000000,0,1160000000,0,1010000000,0,1150000000,0,1193938630,0,713971319.3,0,873618580.6,0,925232995.1,0,943414523.3,967479380,899399594.3,894088692.8,895045177.7,913849883,950079201.4,917666570.3,1344911122,0.0
专项应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
预计非流动负债,19697374600,13670695200,10989376900,10894420700,9953762700,10171233831,8709869807,7708599437,6797704877,6048903332,6101214729,5756547910,5289773262,5579606717,4313623912,3507541925,2512382682,2821540586,2018155175,1787562370,1789007285,1268416292,930580458.7,581118103,43656244.08,0.0
递延所得税负债,1807813000,1714036000,1459589400,1009284700,1038576900,360049010.4,235972124.7,54350808.15,85518810.08,121078988.7,77630155.57,53697173.7,91191949.71,177088163,58389832.13,41726802.59,40984489.33,42052130.71,34549547.01,69115257.32,68992112.81,82065980.53,28130130.54,30220779.54,0,0.0
长期递延收益,19966701700,16308196300,14374329700,12919522900,12099359100,7944056739,6400308476,4674614610,3918939198,3564969996,1619553975,1595065701,813236654.9,653515298.2,635800995,626870612.3,611042047.2,360701916.8,425180664.3,404289790.8,419460871.5,377532756.2,403581087.3,296337217.1,214850053.5,0.0
其他非流动负债,6910284100,7419759400,6911647100,6466877500,3228720400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
非流动负债合计,1.28E+11,1.02E+11,87594184300,78538624300,65699853800,54472495682,39605688511,35110766315,32446520720,30644786720,19818287951,18359783488,13556722825,11957626010,9571776856,8505238977,7598591557,7437101080,6571916584,5910312384,5301600722,3361814912,2614370878,1825342670,1603417420,0.0
负债合计,4.24E+11,3.81E+11,3.32E+11,2.83E+11,2.15E+11,1.69E+11,1.32E+11,1.02E+11,87423710524,71187128352,55285277686,58192288551,59164101554,55821840319,51822741901,47102400444,38683533426,29262546518,22619766026,20842018509,23191646661,17729459776,12797195300,7174629113,2539700817,0.0
所有者权益,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),2442514500,2440471000,2440471000,2330851200,2330851200,2329007802,2329007802,2329474028,2329474028,2329474028,2207113780,2208399700,2208399700,2208399700,2194445000,2195017400,2195017400,2195017400,2172437000,1955193267,1955193267,1955193267,613321800,470590000,200000000,0.0
资本公积,88904372100,88382735300,88237358700,43295032600,43163696500,41512967187,41446874264,41380785863,41662151603,41267668241,21714813494,21690483383,21630448578,21521985575,20966274995,21452320896,21372918712,21332400492,20520157651,15374442888,15354587817,15073392635,11608553987,369014163.8,0,0.0
减：库存股,253991000,253991000,438727300,443534900,443534900,443534934.1,693512300.6,710020552.8,710020552.8,709694163.2,1029206052,1074894790,1074894790,1074894790,773581200,793701060,793701060,793701060,0,0,0,0,0,0,0,0.0
其他综合收益,8931300000,7825371500,6041677900,3290376800,4208319800,2278562062,1952271955,890877714.4,1126992951,893883527,651028666.9,530735487.5,620819644.9,634925184.4,-101277548.8,-175362167.2,-336839207.9,75236516.05,72148878.24,251679285.9,248500011.6,313505119.8,1566890.34,678828.11,183958.4,0.0
专项储备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
盈余公积,1214302900,1213281100,1213281100,1158471200,1158471200,1157782634,1157782634,1157782634,1157782634,1097245470,1097245470,1097245470,1097245470,985878418.7,985878418.7,985878418.7,985878418.7,638253676.7,638253676.7,638253676.7,638253676.7,299841288.9,299841288.9,37079169.44,6954380.45,0.0
一般风险准备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
未分配利润,63242753100,50106491500,42177114000,35580140300,34095467500,25859863286,22565878446,20595335940,18640918704,16477692586,15032163143,14322773170,13652965292,12667619429,11305749304,10562239859,9515006632,8854096177,7415859087,6918251958,6504904799,4992362868,2965362317,376303017.2,49744909.19,0.0
归属于母公司股东权益合计,1.64E+11,1.50E+11,1.40E+11,85211337100,84513271300,72694648036,68758302800,65644235627,64207299367,61356269689,39673158501,38774742420,38134983894,36943913517,34577488969,34226393346,32938280895,32301303201,30818856293,25137821075,24701439571,22634295179,15488646283,1253665179,256883248,0.0
少数股东权益,12427910400,11571083300,10019159000,8384011300,8108903200,7487789886,6729713770,5696780375,4987417050,5225460213,5078667241,4469433926,4052891263,3545602823,3488400716,2772478669,2261889695,2226764876,2005370553,1843395945,1769799527,519861419.4,302472760.5,244663210.1,78524562.99,0.0
所有者权益(或股东权益)合计,1.77E+11,1.61E+11,1.50E+11,93595348500,92622174500,80182437923,75488016569,71341016001,69194716417,66581729902,44751825741,43244176346,42187875158,40489516340,38065889686,36998872016,35200170591,34528068077,32824226846,26981217021,26471239098,23154156598,15791119044,1498328389,335407811,0.0
负债和所有者权益(或股东权益)总计,6.01E+11,5.42E+11,4.81E+11,3.76E+11,3.08E+11,2.49E+11,2.08E+11,1.73E+11,1.57E+11,1.38E+11,1.00E+11,1.01E+11,1.01E+11,96311356659,89888631587,84101272460,73883704017,63790614595,55443992871,47823235529,49662885758,40883616375,28588314344,8672957501,2875108628,0.0
